x,y,val
18.4,0,13.9525
18.5,0,14.3451
18.6,0,14.7012
18.7,0,15.0292
18.8,0,15.3326
18.9,0,15.6135
19,0,15.8732
19.1,0,16.1124
19.2,0,16.3332
19.3,0,16.5333
19.4,0,16.7114
19.5,0,16.8672
19.6,0,16.9989
19.7,0,17.1017
19.8,0,17.1794
19.9,0,17.2259
20,0.1,17.2567
20,0.2,17.3041
20,0.3,17.3863
20,0.4,17.5005
20,0.5,17.657
20,0.6,17.8585
20,0.7,18.1195
20,0.8,18.4716
20,0.9,19.0009
20,1.1,20
20,1.2,20
20,1.3,20
20,1.4,20
20,1.5,20
20,1.6,20
20,1.7,20
20,1.8,20
20,1.9,20
20,2,20
20,2.1,20
20,2.2,20
20,2.3,20
20,2.4,20
20,2.5,20
20,2.6,20
20,2.7,20
20,2.8,20
20,2.9,20
20,3,20
20,3.1,20
20,3.2,20
20,3.3,20
20,3.4,20
20,3.5,20
20,3.6,20
20,3.7,20
20,3.8,20
20,3.9,20
20,4,20
20,4.1,20
20,4.2,20
20,4.3,20
20,4.4,20
20,4.5,20
20,4.6,20
20,4.7,20
20,4.8,20
20,4.9,20
20,5.1,19.2121
20,5.2,19.0383
20,5.3,18.9094
20,5.4,18.8101
20,5.5,18.7321
20,5.6,18.6707
20,5.7,18.6267
20,5.8,18.5951
20,5.9,18.5764
19.9,6,18.5645
19.8,6,18.5464
19.7,6,18.517
19.6,6,18.4771
19.5,6,18.427
19.4,6,18.3682
19.3,6,18.3022
19.2,6,18.2291
19.1,6,18.1501
19,6,18.0663
18.9,6,17.9784
18.8,6,17.887
18.7,6,17.7928
18.6,6,17.6964
18.5,6,17.5981
18.4,6,17.4984
18.3,6,17.3976
18.2,6,17.2959
18.1,6,17.1937
18,6,17.091
17.9,6,16.9882
17.8,6,16.8853
17.7,6,16.7824
17.6,6,16.6796
17.5,6,16.5769
17.4,6,16.4745
17.3,6,16.3722
17.2,6,16.2701
17.1,6,16.1681
17,6,16.0661
16.9,6,15.9641
16.8,6,15.8619
16.7,6,15.7593
16.6,6,15.6561
16.5,6,15.5523
16.4,6,15.4473
16.3,6,15.3411
16.2,6,15.233
16.1,6,15.1233
16,6,15.011
15.9,6,14.8958
15.8,6,14.778
15.7,6,14.6565
15.6,6,14.5312
15.5,6,14.402
15.4,6,14.2685
15.3,6,14.1302
15.2,6,13.9841
15.1,6,13.827
15,6.1,13.4906
15,6.2,13.4577
15.1,6.3,13.6714
15.2,6.3,13.8135
15.3,6.3,13.949
15.4,6.3,14.0761
15.5,6.3,14.1927
15.6,6.3,14.2972
15.7,6.3,14.3887
15.8,6.3,14.4669
15.9,6.3,14.532
16,6.3,14.5843
16.1,6.3,14.6248
16.2,6.3,14.6539
16.3,6.3,14.6715
16.4,6.3,14.6787
16.5,6.3,14.6762
16.6,6.3,14.6641
16.7,6.3,14.6433
16.8,6.3,14.6134
16.9,6.3,14.5751
17,6.3,14.5286
17.1,6.3,14.4743
17.2,6.3,14.4126
17.3,6.3,14.3433
17.4,6.3,14.2671
17.5,6.3,14.1838
17.6,6.3,14.094
17.7,6.3,13.9977
17.8,6.3,13.895
17.9,6.3,13.7869
18,6.3,13.6731
18.1,6.3,13.5538
18.2,6.3,13.4297
18.3,6.3,13.3009
18.4,6.3,13.168
18.5,6.3,13.0317
18.6,6.3,12.8922
18.7,6.3,12.7502
18.8,6.3,12.6066
18.9,6.3,12.4621
19,6.3,12.3178
19.1,6.3,12.1749
19.2,6.3,12.0348
19.3,6.3,11.8997
19.4,6.3,11.7719
19.5,6.3,11.6539
19.6,6.3,11.5492
19.7,6.3,11.4612
19.8,6.3,11.3954
19.9,6.3,11.3533
20,6.4,11.3258
20,6.5,11.2814
20,6.6,11.2042
20,6.7,11.0842
20,6.8,10.9047
20,6.9,10.6297
20,7.1,10
20,7.2,10
20,7.3,10
20,7.4,10
20,7.5,10
20,7.6,10
20,7.7,10
20,7.8,10
20,7.9,10
20,8,10
20,8.1,10
20,8.2,10
20,8.3,10
20,8.4,10
20,8.5,10
20,8.6,10
20,8.7,10
20,8.8,10
20,8.9,10
20,9.1,11.6874
20,9.2,12.0656
20,9.3,12.3665
20,9.4,12.5991
20,9.5,12.7839
20,9.6,12.93
20,9.7,13.0373
20,9.8,13.115
20,9.9,13.1604
19.9,10,13.19
19.8,10,13.2348
19.7,10,13.3078
19.6,10,13.4092
19.5,10,13.5368
19.4,10,13.6898
19.3,10,13.8648
19.2,10,14.0642
19.1,10,14.2848
19,10,14.5271
18.9,10,14.7905
18.8,10,15.0792
18.7,10,15.3946
18.6,10,15.7384
18.5,10,16.116
18.4,10,16.5433
18.3,10,17.0375
18.2,10,17.6415
18.1,10,18.4232
17.9,10,20
17.8,10,20
17.7,10,20
17.6,10,20
17.5,10,20
17.4,10,20
17.3,10,20
17.2,10,20
17.1,10,20
17,10,20
16.9,10,20
16.8,10,20
16.7,10,20
16.6,10,20
16.5,10,20
16.4,10,20
16.3,10,20
16.2,10,20
16.1,10,20
15.9,10,19.0016
15.8,10,18.8011
15.7,10,18.6537
15.6,10,18.5547
15.5,10,18.4873
15.4,10,18.4478
15.3,9.9,18.4221
15.3,9.8,18.3851
15.3,9.7,18.3246
15.3,9.6,18.2453
15.3,9.5,18.148
15.3,9.4,18.0377
15.3,9.3,17.9162
15.3,9.2,17.7858
15.3,9.1,17.6497
15.3,9,17.5088
15.3,8.9,17.3647
15.3,8.8,17.2188
15.3,8.7,17.0718
15.3,8.6,16.9245
15.3,8.5,16.7773
15.3,8.4,16.6309
15.3,8.3,16.4853
15.3,8.2,16.3408
15.3,8.1,16.1974
15.3,8,16.0551
15.3,7.9,15.9134
15.3,7.8,15.7721
15.3,7.7,15.6303
15.3,7.6,15.4873
15.3,7.5,15.3414
15.3,7.4,15.1906
15.3,7.3,15.03
15.3,7.2,14.8536
15.3,7.1,14.6451
15.2,7,13.9188
15.1,7,13.6256
15,7.1,12.9557
15,7.2,12.7754
15,7.3,12.6335
15,7.4,12.5139
15,7.5,12.4078
15,7.6,12.3121
15,7.7,12.224
15,7.8,12.1431
15,7.9,12.0673
15,8,11.9964
15,8.1,11.9299
15,8.2,11.8673
15,8.3,11.8082
15,8.4,11.7526
15,8.5,11.7004
15,8.6,11.6514
15,8.7,11.6055
15,8.8,11.5626
15,8.9,11.5229
15,9,11.4863
15,9.1,11.453
15,9.2,11.4228
15,9.3,11.3959
15,9.4,11.3724
15,9.5,11.3526
15,9.6,11.3359
15,9.7,11.3231
15,9.8,11.3139
15,9.9,11.3081
14.9,10,11.3046
14.8,10,11.2989
14.7,10,11.2896
14.6,10,11.2765
14.5,10,11.2594
14.4,10,11.2385
14.3,10,11.2131
14.2,10,11.184
14.1,10,11.1501
14,10,11.1113
13.9,10,11.0673
13.8,10,11.0177
13.7,10,10.9619
13.6,10,10.8981
13.5,10,10.8254
13.4,10,10.7415
13.3,10,10.6399
13.2,10,10.5165
13.1,10,10.343
12.9,10,10
12.8,10,10
12.7,10,10
12.6,10,10
12.5,10,10
12.4,10,10
12.3,10,10
12.2,10,10
12.1,10,10
12,10,10
11.9,10,10
11.8,10,10
11.7,10,10
11.6,10,10
11.5,10,10
11.4,10,10
11.3,10,10
11.2,10,10
11.1,10,10
11,10,10
10.9,10,10
10.8,10,10
10.7,10,10
10.6,10,10
10.5,10,10
10.4,10,10
10.3,10,10
10.2,10,10
10.1,10,10
9.9,10,10.3371
9.8,10,10.416
9.7,10,10.4768
9.6,10,10.5272
9.5,10,10.5692
9.4,10,10.605
9.3,10,10.6361
9.2,10,10.6625
9.1,10,10.685
9,10,10.7041
8.9,10,10.7204
8.8,10,10.7338
8.7,10,10.7446
8.6,10,10.7527
8.5,10,10.7584
8.4,10,10.762
8.3,9.9,10.7642
8.3,9.8,10.7676
8.3,9.7,10.7733
8.3,9.6,10.7811
8.3,9.5,10.791
8.3,9.4,10.8029
8.3,9.3,10.8168
8.3,9.2,10.8323
8.3,9.1,10.8494
8.3,9,10.8681
8.3,8.9,10.8882
8.3,8.8,10.9095
8.3,8.7,10.9318
8.3,8.6,10.9552
8.3,8.5,10.9795
8.3,8.4,11.0045
8.3,8.3,11.0302
8.3,8.2,11.0565
8.3,8.1,11.0832
8.3,8,11.1104
8.3,7.9,11.1379
8.3,7.8,11.1657
8.3,7.7,11.1937
8.3,7.6,11.2218
8.3,7.5,11.2501
8.3,7.4,11.2784
8.3,7.3,11.3068
8.3,7.2,11.3351
8.3,7.1,11.3635
8.3,7,11.3918
8.3,6.9,11.42
8.3,6.8,11.4482
8.3,6.7,11.4763
8.3,6.6,11.5043
8.3,6.5,11.5323
8.3,6.4,11.5602
8.3,6.3,11.5881
8.3,6.2,11.616
8.3,6.1,11.644
8.3,6,11.6721
8.3,5.9,11.7004
8.3,5.8,11.729
8.3,5.7,11.7582
8.3,5.6,11.7881
8.3,5.5,11.8189
8.3,5.4,11.8514
8.3,5.3,11.8866
8.3,5.2,11.9258
8.3,5.1,11.9734
8.2,5,12.1402
8.1,5,12.2127
8,5.1,12.3667
8,5.2,12.3985
8,5.3,12.4191
8,5.4,12.4322
8,5.5,12.4397
8,5.6,12.4432
8,5.7,12.4428
8,5.8,12.4394
8,5.9,12.4331
8,6,12.424
8,6.1,12.4125
8,6.2,12.3988
8,6.3,12.383
8,6.4,12.3652
8,6.5,12.3456
8,6.6,12.3242
8,6.7,12.3012
8,6.8,12.2766
8,6.9,12.2506
8,7,12.2232
8,7.1,12.1946
8,7.2,12.1649
8,7.3,12.134
8,7.4,12.1023
8,7.5,12.0697
8,7.6,12.0363
8,7.7,12.0024
8,7.8,11.968
8,7.9,11.9333
8,8,11.8983
8,8.1,11.8633
8,8.2,11.8284
8,8.3,11.7937
8,8.4,11.7595
8,8.5,11.7259
8,8.6,11.6931
8,8.7,11.6612
8,8.8,11.6305
8,8.9,11.6013
8,9,11.5736
8,9.1,11.5478
8,9.2,11.5241
8,9.3,11.5024
8,9.4,11.4833
8,9.5,11.4666
8,9.6,11.4529
8,9.7,11.4422
8,9.8,11.4342
8,9.9,11.4295
7.9,10,11.4262
7.8,10,11.4215
7.7,10,11.4134
7.6,10,11.4022
7.5,10,11.3873
7.4,10,11.3687
7.3,10,11.3464
7.2,10,11.3194
7.1,10,11.2885
7,10,11.252
6.9,10,11.2103
6.8,10,11.1619
6.7,10,11.1055
6.6,10,11.0403
6.5,10,10.9644
6.4,10,10.8733
6.3,10,10.762
6.2,10,10.6175
6.1,10,10.4196
5.9,10,10
5.8,10,10
5.7,10,10
5.6,10,10
5.5,10,10
5.4,10,10
5.3,10,10
5.2,10,10
5.1,10,10
5,10,10
4.9,10,10
4.8,10,10
4.7,10,10
4.6,10,10
4.5,10,10
4.4,10,10
4.3,10,10
4.2,10,10
4.1,10,10
4,10,10
3.9,10,10
3.8,10,10
3.7,10,10
3.6,10,10
3.5,10,10
3.4,10,10
3.3,10,10
3.2,10,10
3.1,10,10
3,10,10
2.9,10,10
2.8,10,10
2.7,10,10
2.6,10,10
2.5,10,10
2.4,10,10
2.3,10,10
2.2,10,10
2.1,10,10
1.9,10,12.2913
1.8,10,12.8757
1.7,10,13.3637
1.6,10,13.7922
1.5,10,14.178
1.4,10,14.5317
1.3,10,14.8586
1.2,10,15.1631
1.1,10,15.446
1,10,15.708
0.9,10,15.9527
0.8,10,16.1774
0.7,10,16.3819
0.6,10,16.5647
0.5,10,16.7247
0.4,10,16.8606
0.3,10,16.9678
0.2,10,17.0468
0.1,10,17.0949
0,9.9,17.1275
0,9.8,17.1766
0,9.7,17.2606
0,9.6,17.3795
0,9.5,17.5427
0,9.4,17.7532
0,9.3,18.0261
0,9.2,18.3914
0,9.1,18.9501
0,8.9,20
0,8.8,20
0,8.7,20
0,8.6,20
0,8.5,20
0,8.4,20
0,8.3,20
0,8.2,20
0,8.1,20
0,8,20
0,7.9,20
0,7.8,20
0,7.7,20
0,7.6,20
0,7.5,20
0,7.4,20
0,7.3,20
0,7.2,20
0,7.1,20
0,7,20
0,6.9,20
0,6.8,20
0,6.7,20
0,6.6,20
0,6.5,20
0,6.4,20
0,6.3,20
0,6.2,20
0,6.1,20
0,5.9,18.7708
0,5.8,18.4874
0,5.7,18.2661
0,5.6,18.0852
0,5.5,17.9345
0,5.4,17.8043
0,5.3,17.6942
0,5.2,17.6
0,5.1,17.5189
0,5,17.4504
0,4.9,17.3928
0,4.8,17.3451
0,4.7,17.3067
0,4.6,17.278
0,4.5,17.2571
0,4.4,17.245
0.1,4.3,17.2365
0.2,4.3,17.2247
0.3,4.3,17.2047
0.4,4.3,17.1767
0.5,4.3,17.1413
0.6,4.3,17.0992
0.7,4.3,17.0506
0.8,4.3,16.995
0.9,4.3,16.9345
1,4.3,16.8685
1.1,4.3,16.7977
1.2,4.3,16.7229
1.3,4.3,16.6442
1.4,4.3,16.5623
1.5,4.3,16.4774
1.6,4.3,16.3903
1.7,4.3,16.3009
1.8,4.3,16.2099
1.9,4.3,16.1175
2,4.3,16.0241
2.1,4.3,15.9298
2.2,4.3,15.8351
2.3,4.3,15.7401
2.4,4.3,15.645
2.5,4.3,15.5501
2.6,4.3,15.4555
2.7,4.3,15.3614
2.8,4.3,15.268
2.9,4.3,15.1754
3,4.3,15.0837
3.1,4.3,14.9931
3.2,4.3,14.9035
3.3,4.3,14.8153
3.4,4.3,14.7283
3.5,4.3,14.6427
3.6,4.3,14.5585
3.7,4.3,14.4758
3.8,4.3,14.3947
3.9,4.3,14.3153
4,4.3,14.2374
4.1,4.3,14.1611
4.2,4.3,14.0867
4.3,4.3,14.0138
4.4,4.3,13.9425
4.5,4.3,13.8732
4.6,4.3,13.8054
4.7,4.3,13.7394
4.8,4.3,13.6752
4.9,4.3,13.6125
5,4.3,13.5516
5.1,4.3,13.4923
5.2,4.3,13.4347
5.3,4.3,13.3786
5.4,4.3,13.3242
5.5,4.3,13.2714
5.6,4.3,13.22
5.7,4.3,13.1701
5.8,4.3,13.1216
5.9,4.3,13.0745
6,4.3,13.0288
6.1,4.3,12.9842
6.2,4.3,12.941
6.3,4.3,12.8988
6.4,4.3,12.8577
6.5,4.3,12.8175
6.6,4.3,12.7781
6.7,4.3,12.7395
6.8,4.3,12.7015
6.9,4.3,12.664
7,4.3,12.6267
7.1,4.3,12.5895
7.2,4.3,12.5521
7.3,4.3,12.5143
7.4,4.3,12.4757
7.5,4.3,12.4361
7.6,4.3,12.3947
7.7,4.3,12.3512
7.8,4.3,12.3045
7.9,4.3,12.2516
8,4.2,12.1216
8,4.1,12.0897
7.9,4,12.0437
7.8,4,12.0364
7.7,4,12.032
7.6,4,12.0293
7.5,4,12.0279
7.4,4,12.0277
7.3,4,12.0284
7.2,4,12.0302
7.1,4,12.0328
7,4,12.0364
6.9,4,12.041
6.8,4,12.0466
6.7,4,12.0532
6.6,4,12.061
6.5,4,12.0697
6.4,4,12.0798
6.3,4,12.0912
6.2,4,12.1038
6.1,4,12.1179
6,4,12.1335
5.9,4,12.1506
5.8,4,12.1694
5.7,4,12.1899
5.6,4,12.2122
5.5,4,12.2365
5.4,4,12.2627
5.3,4,12.2912
5.2,4,12.3217
5.1,4,12.3545
5,4,12.3898
4.9,4,12.4276
4.8,4,12.4679
4.7,4,12.511
4.6,4,12.5569
4.5,4,12.6058
4.4,4,12.6577
4.3,4,12.7127
4.2,4,12.7709
4.1,4,12.8327
4,4,12.8975
3.9,4,12.9661
3.8,4,13.0385
3.7,4,13.1145
3.6,4,13.1943
3.5,4,13.278
3.4,4,13.3657
3.3,4,13.4575
3.2,4,13.5535
3.1,4,13.6536
3,4,13.7584
2.9,4,13.867
2.8,4,13.98
2.7,4,14.0974
2.6,4,14.2193
2.5,4,14.3451
2.4,4,14.4757
2.3,4,14.6101
2.2,4,14.7487
2.1,4,14.8914
2,4,15.0373
1.9,4,15.187
1.8,4,15.3399
1.7,4,15.4955
1.6,4,15.6536
1.5,4,15.8133
1.4,4,15.9741
1.3,4,16.1353
1.2,4,16.2959
1.1,4,16.4546
1,4,16.6105
0.9,4,16.7618
0.8,4,16.9069
0.7,4,17.0434
0.6,4,17.1692
0.5,4,17.2822
0.4,4,17.38
0.3,4,17.4579
0.2,4,17.5175
0.1,4,17.5535
0,3.9,17.578
0,3.8,17.6147
0,3.7,17.6784
0,3.6,17.7722
0,3.5,17.8992
0,3.4,18.066
0,3.3,18.2941
0,3.2,18.6037
0,3.1,19.0987
0,2.9,20
0,2.8,20
0,2.7,20
0,2.6,20
0,2.5,20
0,2.4,20
0,2.3,20
0,2.2,20
0,2.1,20
0,2,20
0,1.9,20
0,1.8,20
0,1.7,20
0,1.6,20
0,1.5,20
0,1.4,20
0,1.3,20
0,1.2,20
0,1.1,20
0,0.9,16.2739
0,0.8,15.3022
0,0.7,14.4727
0,0.6,13.7368
0,0.5,13.0572
0,0.4,12.4163
0,0.3,11.8101
0,0.2,11.2291
0,0.1,10.7208
11.4854,3.51463,12.1542
11.761,6.75193,11.6994
5.16572,7.14828,12.7181
2.57767,7.41599,14.7542
17.634,2.34302,15.5489
9.55361,2.31187,12.0313
12.9186,5.03654,12.3715
10.36,5.24061,11.87
12.9541,2.06242,12.2995
4.95645,2.00785,11.9065
2.7434,2.00476,13.0842
7.04644,2.01107,11.8831
10.2674,8.03263,11.0725
13.1156,8.10021,11.4911
18.1456,4.13796,17.1816
17.1315,8.14621,15.7218
3.72885,6.07599,14.1787
11.2121,1.76345,12.1481
1.69293,5.97161,16.4578
6.32232,5.97433,12.7221
6.33042,8.3185,11.7557
3.97547,8.33309,12.3995
13.4221,6.53709,12.3082
9.57267,3.87335,12.0063
13.4357,3.55374,12.4467
1.51245,8.48755,15.7196
9.78713,6.62625,11.516
11.6773,8.51601,10.9384
16.7767,3.54562,15.5581
18.554,7.75091,13.3684
8.36874,1.42524,11.9333
1.43062,1.42845,14.1528
18.6213,1.37906,16.1855
16.6642,1.39232,13.2387
5.0118,5.65489,13.3872
11.6112,4.82639,12.0801
3.84757,2.70661,12.6911
3.85669,1.29597,11.6119
8.30609,2.75075,11.9892
1.65542,2.70647,15.2875
1.2908,7.21582,17.0387
5.98796,1.25904,11.6286
6.001,2.71793,12.0085
2.77432,8.71697,13.0238
18.7343,3.03955,17.702
6.74333,7.16309,12.2654
5.15358,8.75284,11.4836
17.066,4.75973,16.1068
10.1341,1.2212,12.0645
13.7968,1.20798,12.3206
2.73905,5.47242,15.2652
18.095,8.83324,15.5158
10.4216,3.06374,12.074
12.208,1.15509,12.2216
9.46055,8.83852,10.8283
13.959,5.51123,12.8162
4.01431,7.19282,13.3849
16.4359,2.47808,14.5501
13.8869,8.88694,11.3454
12.4551,4.03173,12.2855
10.6241,4.17548,12.0278
13.9002,2.54653,12.4045
18.9057,4.90291,18.1363
11.973,2.53796,12.218
10.8192,6.24926,11.6943
16.378,7.37789,15.2268
16.3837,8.91635,17.3962
9.35626,5.64633,11.7569
12.1604,5.74654,12.0558
13.9423,7.45896,12.1168
13.9584,4.45499,12.6919
9.35328,7.54819,11.2341
10.7399,8.95933,10.6516
7.43536,1.03482,11.8173
2.38631,1.02227,12.0488
17.6729,1.02834,13.6441
11.2001,7.62895,11.2896
12.5714,8.98041,10.8406
7.36221,2.98127,11.9864
4.79257,2.99741,12.3345
2.88964,2.99308,13.6526
4.80936,1.00783,11.2673
12.6626,7.19507,11.7708
17.6691,7.28937,14.3386
2.82551,6.45715,14.945
0.988392,5.28839,17.1039
7.00923,5.28463,12.6087
7.02794,9.01046,11.4839
19.0376,8.58116,13.0564
9.20614,0.952562,11.9901
17.7005,3.28671,16.3442
19.0615,3.91832,18.428
4.16848,5.23972,14.0336
17.9516,5.05924,17.0383
16.2411,4.31684,15.3885
9.18196,4.72096,11.9432
19.0796,2.17414,17.9077
0.914093,2.18573,16.6682
5.82133,5.21224,13.0531
4.5796,6.44896,13.3892
12.6218,3.14186,12.302
10.9531,0.899273,12.1257
0.896664,6.41036,17.8032
9.13067,3.09659,12.0177
10.4213,2.17608,12.0867
17.2574,9.1119,17.3719
0.885925,9.11408,16.6144
5.5322,7.94552,12.0883
3.55685,9.12343,11.5928
5.95732,6.78534,12.5915
0.863443,3.11023,17.0161
7.11135,7.95038,11.9231
7.11897,6.3538,12.4458
5.95048,9.11407,11.1619
10.438,7.1953,11.378
1.92774,5.16218,16.1224
13.0096,0.858059,12.2709
2.01618,6.777,15.9043
0.849073,7.95198,17.7291
19.1511,7.15393,12.0384
4.68446,7.86238,12.4523
3.35381,7.77746,13.507
4.4151,9.16952,11.1626
2.03914,9.14913,13.5567
16.136,5.14451,15.2391
12.0368,7.73221,11.3823
11.1299,2.62974,12.1381
0.834128,0.827519,13.6538
14.2454,6.65075,12.7408
12.9718,5.84598,12.293
3.18415,0.825517,11.2673
11.3351,5.60169,11.9139
16.1178,8.1587,16.224
7.85134,2.06663,11.9323
19.1964,0.810935,16.9026
16.1063,0.806334,11.984
6.65386,0.804554,11.6681
14.1996,3.30795,12.52
8.78249,3.79022,12.023
1.86051,7.77057,15.6511
16.0951,3.17953,14.9402
13.186,4.29268,12.4503
8.78267,2.1335,11.9865
3.41126,5.07912,14.6751
14.2153,8.17819,11.7778
1.97287,1.99246,14.0786
9.95822,4.56967,11.951
14.2347,1.83981,12.3688
6.58903,3.23378,12.0287
6.2694,2.00477,11.8491
17.3364,4.05587,16.2506
4.19214,1.99048,12.0918
9.06722,6.36025,11.5731
